,Task,Title
1176,"Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting instruments, paints and brushes, or computer-aided design equipment.",Commercial and Industrial Designers
1177,"Modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.",Commercial and Industrial Designers
1178,"Evaluate feasibility of design ideas, based on factors such as appearance, safety, function, serviceability, budget, production costs/methods, and market characteristics.",Commercial and Industrial Designers
1179,Present designs and reports to customers or design committees for approval and discuss need for modification.,Commercial and Industrial Designers
1180,"Research production specifications, costs, production materials, and manufacturing methods and provide cost estimates and itemized production requirements.",Commercial and Industrial Designers
1182,"Determine size and arrangement of illustrative material and copy, and select style and size of type.",Graphic Designers
1183,"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.",Graphic Designers
1184,"Develop graphics and layouts for product illustrations, company logos, and Web sites.",Graphic Designers
1185,Use computer software to generate new images.,Graphic Designers
1186,"Review final layouts and suggest improvements, as needed.",Graphic Designers
1188,"Prepare illustrations or rough sketches of material, discussing them with clients or supervisors and making necessary changes.",Graphic Designers
1189,"Draw and print charts, graphs, illustrations, and other artwork, using computer.",Graphic Designers
1190,Key information into computer equipment to create layouts for client or supervisor.,Graphic Designers
1191,Research new software or design concepts.,Graphic Designers
1192,"Study illustrations and photographs to plan presentation of materials, products, or services.",Graphic Designers
1193,"Mark up, paste, and assemble final layouts to prepare layouts for printer.",Graphic Designers
1195,"Research production topics using the internet, video archives, and other informational sources.",Producers and Directors
1196,"Review film, recordings, or rehearsals to ensure conformance to production and broadcast standards.",Producers and Directors
1197,Study and research scripts to determine how they should be directed.,Producers and Directors
1198,"Perform management activities, such as budgeting, scheduling, planning, and marketing.",Producers and Directors
1200,"Compile scripts, program notes, and other material related to productions.",Producers and Directors
1201,Write and submit proposals to bid on contracts for projects.,Producers and Directors
1202,Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,Producers and Directors
1203,Cut and edit film or tape to integrate component parts into desired sequences.,Producers and Directors
1204,Write and edit news stories from information collected by reporters and other sources.,Producers and Directors
1205,Review film daily to check on work in progress and to plan for future filming.,Producers and Directors
1206,"Perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters.",Producers and Directors
1207,"Develop marketing plans for finished products, collaborating with sales associates to supervise product distribution.",Producers and Directors
1211,Establish work schedules and assign work to staff members.,Media Programming Directors
1213,Prepare copy and edit tape so that material is ready for broadcasting.,Media Programming Directors
1215,Develop promotions for current programs and specials.,Media Programming Directors
1216,Review information about programs and schedules to ensure accuracy and provide such information to local media outlets.,Media Programming Directors
1217,"Select, acquire, and maintain programs, music, films, and other needed materials and obtain legal clearances for their use as necessary.",Media Programming Directors
1218,Observe pictures through monitors and direct camera and video staff concerning shading and composition.,Media Technical Directors/Managers
1219,Monitor broadcasts to ensure that programs conform to station or network policies and regulations.,Media Technical Directors/Managers
1220,Collaborate with promotions directors to produce on-air station promotions.,Media Technical Directors/Managers
1221,Schedule use of studio and editing facilities for producers and engineering and maintenance staff.,Media Technical Directors/Managers
1222,"Direct technical aspects of newscasts and other productions, checking and switching between video sources and taking responsibility for the on-air product, including camera shots and graphics.",Media Technical Directors/Managers
1223,"Set up and execute video transitions and special effects, such as fades, dissolves, cuts, keys, and supers, using computers to manipulate pictures as necessary.",Media Technical Directors/Managers
1224,Operate control consoles.,Broadcast Announcers and Radio Disc Jockeys
1225,Record commercials for later broadcast.,Broadcast Announcers and Radio Disc Jockeys
1226,Study background information to prepare for programs or interviews.,Broadcast Announcers and Radio Disc Jockeys
1227,Read news flashes to inform audiences of important events.,Broadcast Announcers and Radio Disc Jockeys
1228,"Identify stations, and introduce or close shows, ad-libbing or using memorized or read scripts.",Broadcast Announcers and Radio Disc Jockeys
1229,Develop story lines for broadcasts.,Broadcast Announcers and Radio Disc Jockeys
1231,Maintain organization of the music library.,Broadcast Announcers and Radio Disc Jockeys
1232,"Keep daily program logs to provide information on all elements aired during broadcast, such as musical selections and station promotions.",Broadcast Announcers and Radio Disc Jockeys
1235,"Write commentaries, columns, or scripts, using computers.","News Analysts, Reporters, and Journalists"
1236,"Examine news items of local, national, and international significance to determine topics to address, or obtain assignments from editorial staff members.","News Analysts, Reporters, and Journalists"
1237,Analyze and interpret news and information received from various sources to broadcast the information.,"News Analysts, Reporters, and Journalists"
1238,Research a story's background information to provide complete and accurate information.,"News Analysts, Reporters, and Journalists"
1239,"Select material most pertinent to presentation, and organize this material into appropriate formats.","News Analysts, Reporters, and Journalists"
1240,Revise work to meet editorial approval or to fit time or space requirements.,"News Analysts, Reporters, and Journalists"
1241,Review and evaluate notes taken about news events to isolate pertinent facts and details.,"News Analysts, Reporters, and Journalists"
1242,"Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.","News Analysts, Reporters, and Journalists"
1243,"Determine a published or broadcasted story's emphasis, length, and format, organizing material accordingly.","News Analysts, Reporters, and Journalists"
1244,"Transmit news stories or reporting information from remote locations, using equipment such as satellite phones, telephones, fax machines, or modems.","News Analysts, Reporters, and Journalists"
1245,"Check reference materials, such as books, news files, or public records, to obtain relevant facts.","News Analysts, Reporters, and Journalists"
1246,"Develop ideas or material for columns or commentaries by analyzing and interpreting news, current issues, or personal experiences.","News Analysts, Reporters, and Journalists"
1247,"Communicate with readers, viewers, advertisers, or the general public via mail, email, or telephone.","News Analysts, Reporters, and Journalists"
1248,"Write online blog entries that address news developments or offer additional information, opinions, or commentary on news events.","News Analysts, Reporters, and Journalists"
1251,Respond to requests for information from the media or designate an appropriate spokesperson or information source.,Public Relations Specialists
1252,Post and update content on the company's Web site and social media outlets.,Public Relations Specialists
1253,Write press releases or other media communications to promote clients.,Public Relations Specialists
1254,"Study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",Public Relations Specialists
1255,"Prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences.",Public Relations Specialists
1256,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",Editors
1257,"Verify facts, dates, and statistics, using standard reference sources.",Editors
1258,"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",Editors
1259,"Develop story or content ideas, considering reader or audience appeal.",Editors
1260,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",Editors
1261,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",Editors
1263,"Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.",Editors
1264,Review and approve proofs submitted by composing room prior to publication production.,Editors
1265,"Assign topics, events and stories to individual writers or reporters for coverage.",Editors
1266,"Monitor news-gathering operations to ensure utilization of all news sources, such as press releases, telephone contacts, radio, television, wire services, and other reporters.",Editors
1267,"Select local, state, national, and international news items received from wire services, based on assessment of items' significance and interest value.",Editors
1268,"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",Editors
1269,Make manuscript acceptance or revision recommendations to the publisher.,Editors
1270,"Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.",Technical Writers
1271,Maintain records and files of work and revisions.,Technical Writers
1272,"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",Technical Writers
1273,"Select photographs, drawings, sketches, diagrams, and charts to illustrate material.",Technical Writers
1274,Develop or maintain online help documentation.,Technical Writers
1275,Assist in laying out material for publication.,Technical Writers
1276,"Arrange for typing, duplication, and distribution of material.",Technical Writers
1277,"Review manufacturer's and trade catalogs, drawings and other data relative to operation, maintenance, and service of equipment.",Technical Writers
1278,Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,Technical Writers
1279,Draw sketches to illustrate specified materials or assembly sequence.,Technical Writers
1280,"Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.",Technical Writers
1281,Vary language and tone of messages based on product and medium.,Writers and Authors
1282,Present drafts and ideas to clients.,Writers and Authors
1283,"Review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products.",Writers and Authors
1284,"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",Writers and Authors
1285,Conduct research and interviews to determine which of a product's selling features should be promoted.,Writers and Authors
1294,"Compress, digitize, duplicate, and store audio and video data.",Audio and Video Technicians
1295,"Switch sources of video input from one camera or studio to another, from film to live programming, or from network to local programming.",Audio and Video Technicians
1296,Monitor incoming and outgoing pictures and sound feeds to ensure quality and notify directors of any possible problems.,Audio and Video Technicians
1297,Mix and regulate sound inputs and feeds or coordinate audio feeds with television pictures.,Audio and Video Technicians
1298,"Reserve audio-visual equipment and facilities, such as meeting rooms.",Audio and Video Technicians
1299,"Determine formats, approaches, content, levels, and mediums to effectively meet objectives within budgetary constraints, using research, knowledge, and training.",Audio and Video Technicians
1300,Edit videotapes by erasing and removing portions of programs and adding video or sound as required.,Audio and Video Technicians
1301,Produce rough and finished graphics and graphic designs.,Audio and Video Technicians
1302,"Locate and secure settings, properties, effects, and other production necessities.",Audio and Video Technicians
1304,Monitor and log transmitter readings.,Broadcast Technicians
1305,Maintain programming logs as required by station management and the Federal Communications Commission.,Broadcast Technicians
1306,"Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts.",Broadcast Technicians
1307,Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,Broadcast Technicians
1308,"Play and record broadcast programs, using automation systems.",Broadcast Technicians
1310,Select sources from which programming will be received or through which programming will be transmitted.,Broadcast Technicians
1311,Control audio equipment to regulate volume and sound quality during radio and television broadcasts.,Broadcast Technicians
1313,Schedule programming or read television programming logs to determine which programs are to be recorded or aired.,Broadcast Technicians
1314,"Edit broadcast material electronically, using computers.",Broadcast Technicians
1316,Make commercial dubs.,Broadcast Technicians
1319,"Separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage.",Sound Engineering Technicians
1320,Keep logs of recordings.,Sound Engineering Technicians
1321,"Mix and edit voices, music, and taped sound effects for live performances and for prerecorded events, using sound mixing boards.",Sound Engineering Technicians
1322,"Synchronize and equalize prerecorded dialogue, music, and sound effects with visual action of motion pictures or television productions, using control consoles.",Sound Engineering Technicians
1325,"Create musical instrument digital interface programs for music projects, commercials, or film postproduction.",Sound Engineering Technicians
1326,"Transfer photographs to computers for editing, archiving, and electronic transmission.",Photographers
1327,"Manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.",Photographers
1328,"Enhance, retouch, and resize photographs and negatives, using airbrushing and other techniques.",Photographers
1329,"Estimate or measure light levels, distances, and numbers of exposures needed, using measuring devices and formulas.",Photographers
1330,"Perform general office duties, such as scheduling appointments, keeping books, and ordering supplies.",Photographers
1331,Review sets of photographs to select the best work.,Photographers
1332,Write photograph captions.,Photographers
1333,Organize and string together raw footage into a continuous whole according to scripts or the instructions of directors and producers.,Film and Video Editors
1334,"Edit films and videotapes to insert music, dialogue, and sound effects, to arrange films into sequences, and to correct errors, using editing equipment.",Film and Video Editors
1335,Select and combine the most effective shots of each scene to form a logical and smoothly running story.,Film and Video Editors
1336,Review footage sequence by sequence to become familiar with it before assembling it into a final product.,Film and Video Editors
1337,"Set up and operate computer editing systems, electronic titling systems, video switching equipment, and digital video effects units to produce a final product.",Film and Video Editors
1338,Trim film segments to specified lengths and reassemble segments in sequences that present stories with maximum effect.,Film and Video Editors
1339,"Cut shot sequences to different angles at specific points in scenes, making each individual cut as fluid and seamless as possible.",Film and Video Editors
1357,Participate in continuing education activities to maintain and develop expertise.,Radiologists
1375,"Return dictated reports in printed or electronic form for physician's review, signature, and corrections and for inclusion in patients' medical records.",Medical Transcriptionists
1376,"Produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",Medical Transcriptionists
1396,Complete sales order tickets and submit for processing of client-requested transactions.,"Securities, Commodities, and Financial Services Sales Agents"
1416,"Maintain customer records, using automated systems.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
1428,"Deliver prepared sales talks, reading from scripts that describe products or services, to persuade potential customers to purchase a product or service or to make a donation.",Telemarketers
1430,"Obtain customer information such as name, address, and payment method, and enter orders into computers.",Telemarketers
1432,Adjust sales scripts to better target the needs and interests of specific individuals.,Telemarketers
1435,"Maintain records of contacts, accounts, and orders.",Telemarketers
1463,Match statements with batches of canceled checks by account numbers.,Billing and Posting Clerks
1467,"Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.","Bookkeeping, Accounting, and Auditing Clerks"
1475,"Match order forms with invoices, and record the necessary information.","Bookkeeping, Accounting, and Auditing Clerks"
1476,Prepare and process payroll information.,"Bookkeeping, Accounting, and Auditing Clerks"
1496,Keep informed about changes in tax and deduction laws that apply to the payroll process.,Payroll and Timekeeping Clerks
1497,Complete time sheets showing employees' arrival and departure times.,Payroll and Timekeeping Clerks
1510,"Maintain knowledge of all organizational and governmental rules affecting purchases, and provide information about these rules to organization staff members and to vendors.",Procurement Clerks
1512,"Contact suppliers to schedule or expedite deliveries and to resolve shortages, missed or late deliveries, and other problems.",Procurement Clerks
1576,Refer unresolved customer grievances to designated departments for further investigation.,Customer Service Representatives
1580,"Obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills.",Customer Service Representatives
1600,"Assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.",Loan Interviewers and Clerks
1601,"Record applications for loan and credit, loan information, and disbursements of funds, using computers.",Loan Interviewers and Clerks
1603,File and maintain loan records.,Loan Interviewers and Clerks
1604,"Contact credit bureaus, employers, and other sources to check applicants' credit and personal references.",Loan Interviewers and Clerks
1605,"Prepare and type loan applications, closing documents, legal documents, letters, forms, government notices, and checks, using computers.",Loan Interviewers and Clerks
1607,"Calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators.",Loan Interviewers and Clerks
1608,Present loan and repayment schedules to customers.,Loan Interviewers and Clerks
1609,Order property insurance or mortgage insurance policies to ensure protection against loss on mortgaged property.,Loan Interviewers and Clerks
1650,"Assemble and issue required documentation, such as tickets, travel insurance policies, or itineraries.",Reservation and Transportation Ticket Agents and Travel Clerks
1790,"Operate desktop publishing software and equipment to design, lay out, and produce camera-ready copy.",Desktop Publishers
1791,"Position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns.",Desktop Publishers
1792,Check preliminary and final proofs for errors and make necessary corrections.,Desktop Publishers
1793,"View monitors for visual representation of work in progress and for instructions and feedback throughout process, making modifications as necessary.",Desktop Publishers
1795,"Prepare sample layouts for approval, using computer software.",Desktop Publishers
1796,"Import text and art elements, such as electronic clip art or electronic files from photographs that have been scanned or produced with a digital camera, using computer software.",Desktop Publishers
1797,Study layout or other design instructions to determine work to be done and sequence of operations.,Desktop Publishers
1799,"Convert various types of files for printing or for the Internet, using computer software.",Desktop Publishers
1801,"Edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.",Desktop Publishers
1805,"Prepare insurance claim forms or related documents, and review them for completeness.",Insurance Claims and Policy Processing Clerks
1809,Review insurance policy to determine coverage.,Insurance Claims and Policy Processing Clerks
1811,"Organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data.",Insurance Claims and Policy Processing Clerks
1813,"Review and verify data, such as age, name, address, and principal sum and value of property, on insurance applications and policies.",Insurance Claims and Policy Processing Clerks
1814,"Compare information from application to criteria for policy reinstatement, and approve reinstatement when criteria are met.",Insurance Claims and Policy Processing Clerks
1815,"Examine letters from policyholders or agents, original insurance applications, and other company documents to determine if changes are needed and effects of changes.",Insurance Claims and Policy Processing Clerks
1817,Pay small claims.,Insurance Claims and Policy Processing Clerks
1818,"Process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",Insurance Claims and Policy Processing Clerks
1822,"Compose business correspondence for supervisors, managers, and professionals.",Insurance Claims and Policy Processing Clerks
1823,Apply insurance rating systems.,Insurance Claims and Policy Processing Clerks
1827,"Review files, records, and other documents to obtain information to respond to requests.","Office Clerks, General"
1831,"Inventory and order materials, supplies, and services.","Office Clerks, General"
1832,"Collect, count, and disburse money, do basic bookkeeping, and complete banking transactions.","Office Clerks, General"
1833,"Complete and mail bills, contracts, policies, invoices, or checks.","Office Clerks, General"
1836,"Correct or record omissions, errors, or inconsistencies found.",Proofreaders and Copy Markers
1838,"Route proofs with marked corrections to authors, editors, typists, or typesetters for correction or reprinting.",Proofreaders and Copy Markers
1839,"Archive documents, conduct research, and read copy, using the internet and various computer programs.",Proofreaders and Copy Markers
1840,"Typeset and measure dimensions, spacing, and positioning of page elements, such as copy and illustrations, to verify conformance to specifications, using printer's ruler or layout software.",Proofreaders and Copy Markers
1858,"Advise customers concerning equipment operation, maintenance, or programming.","Computer, Automated Teller, and Office Machine Repairers"
1860,Reinstall software programs or adjust settings on existing software to fix machine malfunctions.,"Computer, Automated Teller, and Office Machine Repairers"
1861,Maintain records of equipment maintenance work or repairs.,"Computer, Automated Teller, and Office Machine Repairers"
1864,"Read specifications, such as blueprints, charts, or schematics, to determine machine settings or adjustments.","Computer, Automated Teller, and Office Machine Repairers"
1865,"Enter information into computers to copy programs from one electronic component to another or to draw, modify, or store schematics.","Computer, Automated Teller, and Office Machine Repairers"
1885,Manipulate controls to adjust or activate power distribution equipment or machines.,Power Distributors and Dispatchers
1889,"Implement energy schedules, including real-time transmission reservations or schedules.",Power Distributors and Dispatchers
