O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,use_computer,use_computer_strict,frequency_category1_value,frequency_category2_value,frequency_category3_value,frequency_category4_value,frequency_category5_value,frequency_category6_value,frequency_category7_value,frequency_category,within_scope,within_scope_output
13-1199.04,Business Continuity Planners,15955,"Attend professional meetings, read literature, and participate in training or other educational offerings to keep abreast of new developments and technologies related to disaster recovery and business continuity.",Core,22,08/2018,Occupational Expert,TRUE,TRUE,0,50,31.82,13.64,4.55,0,0,2,FALSE,No.
13-1199.04,Business Continuity Planners,15958,"Recommend or implement methods to monitor, evaluate, or enable resolution of safety, operations, or compliance interruptions.",Core,22,08/2018,Occupational Expert,TRUE,TRUE,19.05,42.86,28.57,9.52,0,0,0,2,TRUE,"Yes.
A report detailing the recommended or implemented methods to monitor, evaluate, or resolve safety, operations, or compliance interruptions."
13-1199.04,Business Continuity Planners,15953,Create business continuity and disaster recovery budgets.,Core,22,08/2018,Occupational Expert,TRUE,TRUE,55.56,44.44,0,0,0,0,0,1,TRUE,"Yes.
A detailed budget document outlining the financial resources allocated for business continuity and disaster recovery efforts."
13-1199.04,Business Continuity Planners,15948,Maintain and update organization information technology applications and network systems blueprints.,Core,22,08/2018,Occupational Expert,TRUE,TRUE,23.53,41.18,23.53,11.76,0,0,0,2,FALSE,No.
13-1199.04,Business Continuity Planners,15952,Design or implement products and services to mitigate risk or facilitate use of technology-based tools and methods.,Core,22,08/2018,Occupational Expert,TRUE,TRUE,31.58,36.84,15.79,0,15.79,0,0,2,FALSE,No.
13-1199.04,Business Continuity Planners,15967,"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",Core,22,08/2018,Occupational Expert,TRUE,TRUE,29.41,23.53,29.41,11.76,5.88,0,0,1,TRUE,"Yes.
A report detailing identified trends, patterns, or warnings indicating potential threats to security."
13-1199.04,Business Continuity Planners,15966,"Conduct or oversee collection of corporate intelligence to avoid fraud, financial crime, cyber attack, terrorism, and infrastructure failure.",Core,22,08/2018,Occupational Expert,TRUE,FALSE,33.33,40,6.67,0,13.33,6.67,0,2,N/A,N/A
13-1199.04,Business Continuity Planners,15950,Identify individual or transaction targets to direct intelligence collection.,Supplemental,22,08/2018,Occupational Expert,FALSE,FALSE,0,62.5,25,0,0,12.5,0,2,N/A,N/A
13-1199.05,Sustainability Specialists,15981,"Develop sustainability project goals, objectives, initiatives, or strategies in collaboration with other sustainability professionals.",Core,23,08/2020,Occupational Expert,FALSE,FALSE,0,30.43,21.74,30.43,13.04,4.35,0,2,N/A,N/A
13-1199.05,Sustainability Specialists,15980,"Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.",Core,23,08/2020,Occupational Expert,TRUE,TRUE,0,9.09,22.73,27.27,36.36,4.55,0,5,TRUE,"Yes.
A report detailing the monitored sustainability indicators, including energy usage, natural resource usage, waste generation, and recycling rates."
13-1199.05,Sustainability Specialists,15979,"Assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.",Core,23,08/2020,Occupational Expert,TRUE,TRUE,4.35,13.04,47.83,21.74,13.04,0,0,3,TRUE,"Yes.
A detailed report outlining the proposed sustainability initiatives, including their cost effectiveness, technical feasibility, and potential acceptance."
13-1199.05,Sustainability Specialists,15973,Provide technical or administrative support for sustainability programs or issues.,Core,23,08/2020,Occupational Expert,TRUE,TRUE,0,4.35,17.39,21.74,39.13,17.39,0,5,TRUE,"Yes.
A detailed report outlining the technical or administrative support provided for sustainability programs or issues."
13-1199.05,Sustainability Specialists,15968,Review and revise sustainability proposals or policies.,Core,23,08/2020,Occupational Expert,TRUE,TRUE,17.39,8.7,47.83,21.74,4.35,0,0,3,TRUE,"Yes.
A revised sustainability proposal or policy document."
13-1199.05,Sustainability Specialists,15976,Develop reports or presentations to communicate the effectiveness of sustainability initiatives.,Core,23,08/2020,Occupational Expert,TRUE,TRUE,0,26.09,39.13,34.78,0,0,0,3,TRUE,"Yes.
The final text-based outcome is a detailed report or presentation that outlines the effectiveness and impact of sustainability initiatives."
13-1199.05,Sustainability Specialists,15975,Create or maintain plans or other documents related to sustainability projects.,Core,23,08/2020,Occupational Expert,TRUE,TRUE,4.35,17.39,21.74,34.78,17.39,4.35,0,4,TRUE,"Yes.
The final text-based outcome is a detailed plan or document outlining the objectives, strategies, and implementation steps for sustainability projects."
13-1199.05,Sustainability Specialists,15978,Collect information about waste stream management or green building practices to inform decision makers.,Core,23,08/2020,Occupational Expert,TRUE,TRUE,4.35,17.39,26.09,30.43,21.74,0,0,4,TRUE,"Yes.
A report summarizing the collected information about waste stream management or green building practices to inform decision makers."
13-1199.05,Sustainability Specialists,15969,"Research or review regulatory, technical, or market issues related to sustainability.",Core,23,08/2020,Occupational Expert,TRUE,TRUE,4.35,17.39,43.48,21.74,13.04,0,0,3,TRUE,"Yes.
A comprehensive report detailing the findings and implications of regulatory, technical, or market issues related to sustainability."
13-1199.05,Sustainability Specialists,15970,"Identify or investigate violations of natural resources, waste management, recycling, or other environmental policies.",Core,23,08/2020,Occupational Expert,FALSE,FALSE,10,10,65,5,10,0,0,3,N/A,N/A
13-1199.05,Sustainability Specialists,15971,Identify or create new sustainability indicators.,Core,23,08/2020,Occupational Expert,TRUE,TRUE,26.09,39.13,26.09,4.35,4.35,0,0,2,TRUE,"Yes.
A report detailing the newly identified or created sustainability indicators."
13-1199.05,Sustainability Specialists,15977,"Create marketing or outreach media, such as brochures or Web sites, to communicate sustainability issues, procedures, or objectives.",Core,23,08/2020,Occupational Expert,TRUE,TRUE,4.76,42.86,28.57,14.29,9.52,0,0,2,TRUE,"Yes.
A brochure or website content that communicates sustainability issues, procedures, or objectives."
13-1199.05,Sustainability Specialists,15974,Identify or procure needed resources to implement sustainability programs or projects.,Core,23,08/2020,Occupational Expert,TRUE,FALSE,17.39,26.09,56.52,0,0,0,0,3,N/A,N/A
13-1199.05,Sustainability Specialists,15972,"Write grant applications, rebate applications, or project proposals to secure funding for sustainability projects.",Core,23,08/2020,Occupational Expert,TRUE,TRUE,28.57,42.86,19.05,9.52,0,0,0,2,TRUE,"Yes.
The final text-based outcome is a written grant application, rebate application, or project proposal document aimed at securing funding for sustainability projects."
13-1199.06,Online Merchants,15718,Fill customer orders by packaging sold items and documentation for direct shipping or by transferring orders to manufacturers or third-party distributors.,Core,75,07/2014,Incumbent,FALSE,FALSE,2.36,6.15,7.06,15.33,21.12,14.42,33.57,7,N/A,N/A
13-1199.06,Online Merchants,15731,"Receive and process payments from customers, using electronic transaction services.",Core,74,07/2014,Incumbent,TRUE,TRUE,0,2.89,4.95,10.54,34.59,15.65,31.37,5,FALSE,No.
13-1199.06,Online Merchants,15710,"Create, manage, or automate orders or invoices, using order management or invoicing software.",Core,75,07/2014,Incumbent,TRUE,TRUE,4.7,7.63,0.86,8.67,34.85,13.97,29.32,5,TRUE,"Yes.
The final text-based outcome is an order or invoice document."
13-1199.06,Online Merchants,15709,Deliver e-mail confirmation of completed transactions and shipment.,Core,75,07/2014,Incumbent,TRUE,TRUE,0,1.59,1.38,11.63,27.91,17.45,40.03,7,TRUE,"Yes
The final text-based outcome is an email sent to the customer confirming the completion of their transaction and providing shipment details."
13-1199.06,Online Merchants,15728,"Correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods.",Core,74,07/2014,Incumbent,TRUE,TRUE,1.6,5.56,6.02,16.11,28.33,10.38,32.02,7,TRUE,"Yes.
The final text-based outcome is a written response to the customer's inquiry or complaint, providing necessary information or resolution."
13-1199.06,Online Merchants,15733,Purchase new or used items from online or physical sources for resale via retail or auction Web site.,Core,75,07/2014,Incumbent,TRUE,FALSE,1.89,9.48,19.05,31.1,23.83,10.8,3.85,4,N/A,N/A
13-1199.06,Online Merchants,15707,Determine and set product prices.,Core,73,07/2014,Incumbent,TRUE,TRUE,0,14.2,16.55,19.76,18.24,7.53,23.72,7,FALSE,No.
13-1199.06,Online Merchants,15730,"Calculate purchase subtotals, taxes, and shipping costs for submission to customers.",Core,75,07/2014,Incumbent,TRUE,TRUE,1.71,2.54,6.79,18.59,42.3,8.38,19.69,5,TRUE,"Yes.
Invoice or receipt detailing the purchase subtotals, taxes, and shipping costs."
13-1199.06,Online Merchants,15734,"Compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping Web sites.",Core,73,07/2014,Incumbent,TRUE,TRUE,1.79,12.71,27.63,17.23,20.95,10.98,8.72,3,TRUE,"Yes  
The final text-based outcome is a detailed product description for online listings."
13-1199.06,Online Merchants,15729,"Compose images of products, using video or still cameras, lighting equipment, props, or photo or video editing software.",Core,74,07/2014,Incumbent,FALSE,FALSE,5.04,21.95,19,11.51,16.98,9.89,15.63,2,N/A,N/A
13-1199.06,Online Merchants,15703,"Upload digital media, such as photos, video, or scanned images to online storefront, auction sites, or other shopping Web sites.",Core,73,07/2014,Incumbent,TRUE,TRUE,2.59,9.82,19.59,23.59,25.1,11.76,7.55,5,FALSE,No.
13-1199.06,Online Merchants,15735,"Calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",Core,74,07/2014,Incumbent,TRUE,TRUE,4.98,2.47,30.28,23.91,29.37,4.74,4.25,3,TRUE,"Yes.
A financial report detailing revenue, sales, and expenses."
13-1199.06,Online Merchants,15714,Cancel orders based on customer requests or inventory or delivery problems.,Core,75,07/2014,Incumbent,TRUE,TRUE,0,9.82,12.52,29.32,28.46,6.76,13.11,4,FALSE,No.
13-1199.06,Online Merchants,15732,"Prepare or organize online storefront marketing material, including product descriptions or subject lines, optimizing content to search engine criteria.",Core,72,07/2014,Incumbent,TRUE,TRUE,5.51,9.03,28.9,17.99,21.25,7.47,9.85,3,TRUE,"Yes.
The final text-based outcome is optimized product descriptions or subject lines that meet search engine criteria."
13-1199.06,Online Merchants,15704,Order or purchase merchandise to maintain optimal inventory levels.,Core,75,07/2014,Incumbent,TRUE,TRUE,3.78,6.67,23.63,18.05,40.72,1.87,5.29,5,FALSE,No.
13-1199.06,Online Merchants,15726,Determine location for product listings to maximize exposure to online traffic.,Core,73,07/2014,Incumbent,TRUE,TRUE,2.08,28.19,25.73,18.33,15.18,3.32,7.18,2,FALSE,No.
13-1199.06,Online Merchants,15711,Create or maintain database of customer accounts.,Core,74,07/2014,Incumbent,TRUE,TRUE,4.02,10.18,14.37,16.44,25.96,10.32,18.71,5,TRUE,"Yes.
A maintained database of customer accounts."
13-1199.06,Online Merchants,15717,"Promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",Core,75,07/2014,Incumbent,TRUE,TRUE,6.78,12.08,22.43,22.56,16.25,11.26,8.62,4,FALSE,No.
13-1199.06,Online Merchants,15713,Collaborate with search engine shopping specialists to place marketing content in desired online locations.,Core,74,07/2014,Incumbent,TRUE,TRUE,4.41,33.34,18.27,19.37,16.54,3.27,4.81,2,FALSE,No.
13-1199.06,Online Merchants,15721,"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",Core,73,07/2014,Incumbent,TRUE,TRUE,3.6,20.08,28.38,20.45,12.63,2.28,12.58,3,TRUE,"Yes.
Market analysis report detailing potential opportunities and viability for merchandising specific products."
13-1199.06,Online Merchants,15705,"Maintain inventory of shipping supplies, such as boxes, labels, tape, bubble wrap, loose packing materials, or tape guns.",Core,75,07/2014,Incumbent,FALSE,FALSE,5.59,13.71,45.25,6.28,13.34,6.68,9.15,3,N/A,N/A
13-1199.06,Online Merchants,15719,Measure and analyze Web site usage data to maximize search engine returns or refine customer interfaces.,Core,72,07/2014,Incumbent,TRUE,TRUE,8.92,11.78,43.74,16.33,13.74,4.48,1.02,3,TRUE,"Yes.
The final text-based outcome is a report detailing website usage statistics and recommendations for improving search engine optimization and customer interface design."
13-1199.06,Online Merchants,15725,"Develop or revise business plans for online business, emphasizing factors such as product line, pricing, inventory, or marketing strategy.",Core,73,07/2014,Incumbent,TRUE,TRUE,14.53,30.05,18.02,25.48,5.72,5.3,0.91,2,TRUE,"Yes.
A comprehensive business plan document detailing the product line, pricing strategy, inventory management, and marketing strategy for the online business."
13-1199.06,Online Merchants,15708,Disclose merchant information and terms and policies of transactions in online or offline materials.,Core,73,07/2014,Incumbent,TRUE,TRUE,7.35,35.12,10.57,12.79,15.13,9.82,9.22,2,TRUE,"Yes.
The final text-based outcome is a document or webpage detailing the merchant's information and the terms and policies of transactions."
13-1199.06,Online Merchants,15727,"Design customer interface of online storefront, using web programming or e-commerce software.",Supplemental,73,07/2014,Incumbent,TRUE,TRUE,3.8,41.79,24.21,2.89,24.63,1.33,1.33,2,N/A,N/A
13-1199.06,Online Merchants,15716,"Select and purchase technical web services, such as web hosting services, online merchant accounts, shopping cart software, payment gateway software, or spyware.",Supplemental,73,07/2014,Incumbent,TRUE,TRUE,54.29,31.63,7.77,3.78,2.53,0,0,1,N/A,N/A
13-1199.06,Online Merchants,15715,"Transfer digital media, such as music, video, or software, to customers via the Internet.",Supplemental,73,07/2014,Incumbent,TRUE,TRUE,6.99,11.17,18.6,35.42,25.55,0,2.27,4,N/A,N/A
13-1199.06,Online Merchants,15724,"Devise, select, or purchase domain name and web address.",Supplemental,75,07/2014,Incumbent,TRUE,TRUE,71.94,12.37,5.69,2.58,7.43,0,0,1,N/A,N/A
13-1199.06,Online Merchants,15722,Initiate online auctions through auction hosting sites or auction management software.,Supplemental,75,07/2014,Incumbent,TRUE,TRUE,16.2,10.65,23.95,16.18,20.45,3.4,9.18,3,N/A,N/A
13-1199.06,Online Merchants,15723,"Implement security practices to preserve assets, minimize liabilities, or ensure customer privacy, using parallel servers, hardware redundancy, fail-safe technology, information encryption, or firewalls.",Supplemental,74,07/2014,Incumbent,TRUE,TRUE,16.91,31.55,20.65,7.39,17.12,2.5,3.87,2,N/A,N/A
13-1199.06,Online Merchants,15720,"Investigate sources, such as auctions, estate sales, liquidators, wholesalers, or trade shows for new items, used items, or collectibles.",Supplemental,73,07/2014,Incumbent,FALSE,FALSE,7.53,35.63,24.22,12.81,10.76,0,9.05,2,N/A,N/A
13-1199.06,Online Merchants,15702,"Participate in online forums or conferences to stay abreast of online retailing trends, techniques, or security threats.",Supplemental,73,07/2014,Incumbent,TRUE,TRUE,9.42,16.43,38.42,8.26,19.31,8.16,0,3,N/A,N/A
13-1199.06,Online Merchants,15706,Integrate online retailing strategy with physical or catalogue retailing operations.,Supplemental,74,07/2014,Incumbent,TRUE,TRUE,11.78,15.85,22.43,20.51,20.11,1.44,7.88,3,N/A,N/A
13-1199.06,Online Merchants,15712,"Create or distribute offline promotional material, such as brochures, pamphlets, business cards, stationary, or signage.",Supplemental,73,07/2014,Incumbent,FALSE,FALSE,6.53,44.28,11.31,18.53,4.22,2.67,12.46,2,N/A,N/A
13-1199.07,Security Management Specialists,21482,Assess the nature and level of physical security threats so that the scope of the problem can be determined.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21483,Budget and schedule security design work.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21484,Conduct security audits to identify potential vulnerabilities related to physical security or staff safety.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21485,"Design security policies, programs, or practices to ensure adequate security relating to alarm response, access card use, and other security needs.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21486,"Design, implement, or establish requirements for security systems, video surveillance, motion detection, or closed-circuit television systems to ensure proper installation and operation.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21487,Develop conceptual designs of security systems.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21488,Develop or review specifications for design or construction of security systems.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21489,"Engineer, install, maintain, or repair security systems, programmable logic controls, or other security-related electronic systems.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21490,"Inspect fire, intruder detection, or other security systems.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21491,"Inspect physical security design features, installations, or programs to ensure compliance with applicable standards or regulations.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21492,"Interview witnesses or suspects to identify persons responsible for security breaches or to establish losses, pursue prosecutions, or obtain restitution.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21493,Monitor tapes or digital recordings to identify the source of losses.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21494,"Monitor the work of contractors in the design, construction, and startup phases of security systems.",,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21495,Outline system security criteria for pre-bid meetings with clients and companies to ensure comprehensiveness and appropriateness for implementation.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21496,Perform risk analyses so that appropriate countermeasures can be developed.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21497,Prepare documentation for case reports or court proceedings.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21498,"Prepare, maintain, or update security procedures, security system drawings, or related documentation.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21499,Provide system design and integration recommendations.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21500,Recommend improvements in security systems or procedures.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21501,Respond to emergency situations on an on-call basis.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21502,"Review design drawings or technical documents for completeness, correctness, or appropriateness.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21503,Test security measures for final acceptance and implement or provide procedures for ongoing monitoring and evaluation of the measures.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1199.07,Security Management Specialists,21504,Train personnel in security procedures or use of security equipment.,,,11/2020,Analyst,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-2011.00,Accountants and Auditors,21505,Prepare detailed reports on audit findings.,Core,,11/2020,Analyst - Transition,TRUE,TRUE,21.05,36.84,31.58,5.26,0,5.26,0,2,TRUE,"Yes.
A comprehensive document outlining the results, observations, and recommendations based on the audit conducted."
13-2011.00,Accountants and Auditors,21506,"Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.",Core,,11/2020,Analyst - Transition,TRUE,FALSE,10.53,52.63,26.32,5.26,5.26,0,0,2,N/A,N/A
13-2011.00,Accountants and Auditors,21507,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,20,25,25,15,10,5,0,2,TRUE,"Yes.
A detailed report outlining the findings of deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
13-2011.00,Accountants and Auditors,21508,"Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,10,40,25,10,10,0,5,2,TRUE,"Yes.
A detailed audit report summarizing the findings on the efficiency, effectiveness, and compliance of the accounting systems with accepted procedures."
13-2011.00,Accountants and Auditors,21509,"Supervise auditing of establishments, and determine scope of investigation required.",Core,,11/2020,Analyst - Transition,FALSE,FALSE,15,20,30,0,20,10,5,3,N/A,N/A
13-2011.00,Accountants and Auditors,21510,Confer with company officials about financial and regulatory matters.,Core,,11/2020,Analyst - Transition,FALSE,FALSE,19.05,38.1,33.33,4.76,4.76,0,0,2,N/A,N/A
13-2011.00,Accountants and Auditors,21511,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,20,30,35,15,0,0,0,3,TRUE,"Yes.
A report detailing the evaluation findings and recommended controls to ensure system reliability and data integrity."
13-2011.00,Accountants and Auditors,21512,"Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.",Core,,11/2020,Analyst - Transition,FALSE,FALSE,35,30,20,10,0,0,5,1,N/A,N/A
13-2011.00,Accountants and Auditors,21513,Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.,Core,,11/2020,Analyst - Transition,FALSE,FALSE,9.52,47.62,19.05,14.29,4.76,0,4.76,2,N/A,N/A
13-2011.00,Accountants and Auditors,21514,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,6.49,23.41,35.32,13.85,20.13,0.12,0.68,3,TRUE,"Yes.
The final text-based outcome is a detailed financial report or statement that assesses the accuracy, completeness, and conformance to reporting and procedural standards."
13-2011.00,Accountants and Auditors,21515,Prepare adjusting journal entries.,Core,,11/2020,Analyst - Transition,TRUE,TRUE,2.17,25.46,38.35,13.53,13.22,7.09,0.19,3,TRUE,"Yes.
The final text-based outcome is a set of journal entries documented in the accounting records to ensure that financial statements reflect accurate and up-to-date financial information."
13-2011.00,Accountants and Auditors,21516,Review accounts for discrepancies and reconcile differences.,Core,,11/2020,Analyst - Transition,TRUE,TRUE,0,25.49,35.26,12.67,26.28,0.29,0,3,TRUE,"Yes.
A reconciliation report detailing the discrepancies found and the adjustments made to correct them."
13-2011.00,Accountants and Auditors,21517,Establish tables of accounts and assign entries to proper accounts.,Core,,11/2020,Analyst - Transition,TRUE,TRUE,14.54,36.06,15.76,19.06,11.15,0.68,2.74,2,TRUE,"Yes.
The final text-based outcome is a structured chart of accounts document that categorizes and lists all the accounts used by an organization."
13-2011.00,Accountants and Auditors,21518,Examine inventory to verify journal and ledger entries.,Core,,11/2020,Analyst - Transition,FALSE,FALSE,33.33,47.62,14.29,4.76,0,0,0,2,N/A,N/A
13-2011.00,Accountants and Auditors,21519,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,3.95,26.09,24.77,8.34,31.43,4.58,0.85,5,TRUE,"Yes.
A detailed financial analysis report projecting future revenues and expenses or providing strategic advice."
13-2011.00,Accountants and Auditors,21520,Report to management regarding the finances of establishment.,Core,,11/2020,Analyst - Transition,TRUE,TRUE,0,34.5,36.72,11.17,12.71,0.25,4.65,3,TRUE,"Yes.
A financial report detailing the establishment's financial status, including income, expenses, and overall financial health, is provided to management."
13-2011.00,Accountants and Auditors,21521,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,11.23,35.87,23.35,10.4,14.22,0.11,4.83,2,TRUE,"Yes.
A detailed report or document outlining the developed, implemented, modified, and documented recordkeeping and accounting systems, including the use of current computer technology."
13-2011.00,Accountants and Auditors,21522,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,29.41,11.76,47.06,11.76,0,0,0,3,TRUE,"Yes.
The final text-based outcome is a detailed tax liability report that outlines the taxpayer's financial obligations based on the evaluation of their finances."
13-2011.00,Accountants and Auditors,21523,"Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.",Core,,11/2020,Analyst - Transition,FALSE,FALSE,18.75,37.5,31.25,6.25,6.25,0,0,2,N/A,N/A
13-2011.00,Accountants and Auditors,21524,"Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.",Core,,11/2020,Analyst - Transition,TRUE,TRUE,40,26.67,26.67,0,0,6.67,0,1,TRUE,"Yes.
A detailed audit report summarizing findings on unemployment insurance premiums, workers' compensation coverage, liabilities, and tax law compliance."
13-2011.00,Accountants and Auditors,21525,"Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.",Supplemental,,11/2020,Analyst - Transition,FALSE,FALSE,33.33,22.22,44.44,0,0,0,0,3,N/A,N/A
13-2011.00,Accountants and Auditors,21526,"Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.",Supplemental,,11/2020,Analyst - Transition,TRUE,TRUE,7.25,56.44,35.83,0.47,0,0,0,2,N/A,N/A
13-2011.00,Accountants and Auditors,21527,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",Supplemental,,11/2020,Analyst - Transition,FALSE,FALSE,32.3,56.26,6.45,4.25,0.73,0,0,2,N/A,N/A
13-2011.00,Accountants and Auditors,21528,Represent clients before taxing authorities and provide support during litigation involving financial issues.,Supplemental,,11/2020,Analyst - Transition,FALSE,FALSE,92.79,0,6.63,0.12,0.46,0,0,1,N/A,N/A
13-2011.00,Accountants and Auditors,21529,"Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.",Supplemental,,11/2020,Analyst - Transition,FALSE,FALSE,10,20,50,10,10,0,0,3,N/A,N/A
13-2011.00,Accountants and Auditors,21530,Conduct pre-implementation audits to determine if systems and programs under development will work as planned.,Supplemental,,11/2020,Analyst - Transition,TRUE,FALSE,38.46,38.46,15.38,7.69,0,0,0,1,N/A,N/A
13-2011.00,Accountants and Auditors,21531,"Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-2011.00,Accountants and Auditors,21532,"Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.",,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-2011.00,Accountants and Auditors,21533,Process invoices for payment.,,,11/2020,Analyst,TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
